EqID,Equation,Framework,Domain,SourceDoc,SourceLine,Description,VerificationStatus,RelatedEqs,ExperimentalTest
LE015,", where α, β = x, y, z, and q  is the wave vector, j and j` denote the",Literature,QM,1111.4064v2.pdf,"Page 10, Line 45","j j    , where α, β = x, y, z, and q is the wave vector, j and j` denote the atoms in the primitive cell. a) If r = 1, then j = 1. The polarization vectors satisfy",Theoretical,,Theoretical validation required
LE016,"a) If r = 1, then j = 1. The polarization vectors satisfy",Literature,QM,1111.4064v2.pdf,"Page 10, Line 47","  , where α, β = x, y, z, and q is the wave vector, j and j` denote the atoms in the primitive cell. a) If r = 1, then j = 1. The polarization vectors satisfy , , `",Theoretical,,Theoretical validation required
LE017,follows that the frequency point ω = 0 is a removable singularity. This is true due to the finite,Literature,QM,1111.4064v2.pdf,"Page 11, Line 190","A g  at the low frequency region. From Eqs. (5)-(7), it follows that the frequency point ω = 0 is a removable singularity. This is true due to the finite size of realistic systems. Under long wavelen...",Theoretical,,Theoretical validation required
LE018,"shows that, when the ratio ζ = θD/T = 2.99345, the difference between the left side and right side",Literature,Thermo,1111.4064v2.pdf,"Page 13, Line 115","(  . (B. 1) It is clear that T0 is solely determined by the Debye temperature θD. Our numerical calculation shows that, when the ratio ζ = θD/T = 2.99345, the difference between the left side and rig...",Theoretical,,Theoretical validation required
LE019,http://www.engineeringtoolbox.com/linear-expansion-coefficients-d_95.html.,Literature,General,1111.4064v2.pdf,"Page 15, Line 9","[17] P. Pavone, K. Karch, O. Schütt, D. Strauch, W. Windl, P. Giannozzi, S. Baroni, Phys. Rev. B 48, 3156 (1993). [18] C. Kittel, Introduction to Solid State Physics, 8th edition, John Wiley & Sons, I...",Theoretical,,Theoretical validation required
LE020,"Edited by: Shadia Jamil Ikhmayies, Bowen Li, John S. Carpenter, Jiann-Yang Hwang, Sergio Neves Monteiro, Jian Li,",Literature,General,978-3-319-48210-1_10.pdf,"Page 1, Line 50","The results in Table I show that the main compositions in the samples are SiO2 and Al2O3 while containing a small amount of MnO and Na2O. In addition, HN-1 contains only trace amounts of Fe and Fe2O3 ...",Theoretical,,Theoretical validation required
LE021,P = d T,Literature,EM,978-3-319-48210-1_10.pdf,"Page 2, Line 83","Any stress (tensile stress, compressive stress, or shear stress) applied to this kind of material can produce electric dipole. If the material is placed between two metals, the applied stress T and el...",Theoretical,,Theoretical validation required
PE001,"#  , W = energy  = length",Pais,General,Comment on the Pais Superforce Theory.pdf,"Page 3, Line 9","! = #$% &"" ' # , W = energy  = length • Result : ",Theoretical,,Theoretical validation required
PE002,(h*= ),Pais,GR,Comment on the Pais Superforce Theory.pdf,"Page 5, Line 4",Pais Physical Interpretation Continued Gravity Force at Planck Scale (h*= ),Theoretical,,Theoretical validation required
PE003,rp = LP,Pais,General,Comment on the Pais Superforce Theory.pdf,"Page 6, Line 2",GEM form for Pais Interpretation rp = LP,Theoretical,,Theoretical validation required
PE004,"S = Poynting Flux,   u = background energy",Pais,GR,Comment on the Pais Superforce Theory.pdf,"Page 8, Line 4","GEM Vacuum Bernoulli Equation for Gravity Control ( Also Can be derived from Puthoff’s Theory) S = Poynting Flux, u = background energy density , G = Newton Gravitation Constant, c= speed of light, g ...",Theoretical,,Theoretical validation required
PE005,"density  , G = Newton Gravitation Constant,",Pais,GR,Comment on the Pais Superforce Theory.pdf,"Page 8, Line 5","GEM Vacuum Bernoulli Equation for Gravity Control ( Also Can be derived from Puthoff’s Theory) S = Poynting Flux, u = background energy density , G = Newton Gravitation Constant, c= speed of light, g ...",Theoretical,,Theoretical validation required
PE006,"c= speed of light, g = Gravity field , K= constant",Pais,GR,Comment on the Pais Superforce Theory.pdf,"Page 8, Line 6","Control ( Also Can be derived from Puthoff’s Theory) S = Poynting Flux, u = background energy density , G = Newton Gravitation Constant, c= speed of light, g = Gravity field , K= constant",Theoretical,,Theoretical validation required
PE007,"negative energy density:  - g2/8pG, of increased gravity fields",Pais,QM,Comment on the Pais Superforce Theory.pdf,"Page 10, Line 5",Gravity fields have negative energy density • Thought experiment : Spherical shell collapses –’mass at a distance’ is unchanged • Kinetic energy of collapsing shell ½ mv2 is compensated for by negativ...,Theoretical,,Theoretical validation required
LE022,Small T: 𝑒ℏ𝜔/𝑘𝐵𝑇≫1 →,Literature,General,Phys-140A-lecture-14v3.pdf,"Page 1, Line 20",𝑒ℏ𝜔/𝑘𝐵𝑇−1 (What are the limits of this expression for very small T and for very large T)? Small T: 𝑒ℏ𝜔/𝑘𝐵𝑇≫1 → 〈𝑛〉~𝑒−ℏ𝜔/𝑘𝐵𝑇 Large T: 𝑒,Theoretical,,Theoretical validation required
LE023,𝐾𝐸= 𝑝2/2𝑚,Literature,General,Phys-140A-lecture-14v3.pdf,"Page 1, Line 30",𝑘𝐵𝑇 〈𝑛〉~𝑘𝐵𝑇/ℏ𝜔 Relationship between energy and momentum 𝐾𝐸= 𝑝2/2𝑚 For each particle Depends on which branch you,Theoretical,,Theoretical validation required
LE024,"k=0, 𝜔~𝑣𝑠𝑘 where k is crystal",Literature,General,Phys-140A-lecture-14v3.pdf,"Page 1, Line 35","For each particle Depends on which branch you are considering (see chapter 4), but for acoustic phonons near k=0, 𝜔~𝑣𝑠𝑘 where k is crystal momentum and 𝑣𝑠 is speed of sound",Theoretical,,Vibrational spectroscopy in crystals
LE025,𝑈= 3𝑁𝑘𝐵𝑇,Literature,Thermo,Phys-140A-lecture-14v3.pdf,"Page 1, Line 42","Relationship between temperature and total internal energy For an N-particle gas 𝑈= 3𝑁𝑘𝐵𝑇 𝑈= ∑∑< 𝑛𝐾,𝑝> ℏ𝜔𝐾,𝑝 𝑝",Theoretical,,Theoretical validation required
LE026,"𝑈= ∑∑< 𝑛𝐾,𝑝> ℏ𝜔𝐾,𝑝",Literature,Thermo,Phys-140A-lecture-14v3.pdf,"Page 1, Line 43","temperature and total internal energy For an N-particle gas 𝑈= 3𝑁𝑘𝐵𝑇 𝑈= ∑∑< 𝑛𝐾,𝑝> ℏ𝜔𝐾,𝑝 𝑝 𝐾",Theoretical,,Theoretical validation required
LE027,𝑗𝑈= −𝐾𝑑𝑇,Literature,Thermo,Phys-140A-lecture-14v3.pdf,"Page 1, Line 74",No Thermal conductivity Thermal conductivity is defined as heat flow in response to a temperature gradient 𝑗𝑈= −𝐾𝑑𝑇 𝑑𝑥,Theoretical,,Theoretical validation required
LE028,Δ𝑇= 𝑑𝑇,Literature,Thermo,Phys-140A-lecture-14v3.pdf,"Page 2, Line 29",some explaining. When a particle moves from a region with temperature 𝑇+ Δ𝑇 to a region with temperature T¸it will give up 𝑐Δ𝑇 of energy. If this particle moves a distance of one mean free path in thi...,Theoretical,,Theoretical validation required
LE029,𝑑𝑥ℓ𝑥= 𝑑𝑇,Literature,Thermo,Phys-140A-lecture-14v3.pdf,"Page 2, Line 30","When a particle moves from a region with temperature 𝑇+ Δ𝑇 to a region with temperature T¸it will give up 𝑐Δ𝑇 of energy. If this particle moves a distance of one mean free path in this process, Δ𝑇= 𝑑𝑇...",Theoretical,,Theoretical validation required
LE030,𝑗𝑢= 𝑛𝑐< 𝑣𝑥2 > 𝜏𝑑𝑇,Literature,Thermo,Phys-140A-lecture-14v3.pdf,"Page 2, Line 35",𝑑𝑥𝑣𝑥𝜏 Where 𝜏 is the average time between collisions. The subscript x has been added because the temperature gradient is only in the x-direction for now The net flux of energy is: 𝑗𝑢= 𝑛𝑐< 𝑣𝑥2 > 𝜏𝑑𝑇 𝑑𝑥...,Theoretical,,Theoretical validation required
LE031,𝑑𝑥= 1,Literature,Thermo,Phys-140A-lecture-14v3.pdf,"Page 2, Line 36",Where 𝜏 is the average time between collisions. The subscript x has been added because the temperature gradient is only in the x-direction for now The net flux of energy is: 𝑗𝑢= 𝑛𝑐< 𝑣𝑥2 > 𝜏𝑑𝑇 𝑑𝑥= 1 3 ...,Theoretical,,Theoretical validation required
LE032,"denoted by n and nc=C is the heat capacity per unit volume (n is particle density, number/volume).",Literature,Thermo,Phys-140A-lecture-14v3.pdf,"Page 2, Line 41",3 𝑛𝑐〈𝑣2〉𝜏𝑑𝑇 𝑑𝑥 There is a factor of 𝑣𝑥2 because the first factor of 𝑣𝑥 comes from the amount of energy the particle gives up and the second factor comes from the rate of flow of these particles. The n...,Theoretical,,Theoretical validation required
LE033,"Thus, 𝑗𝑈= −",Literature,General,Phys-140A-lecture-14v3.pdf,"Page 2, Line 42",𝑑𝑥 There is a factor of 𝑣𝑥2 because the first factor of 𝑣𝑥 comes from the amount of energy the particle gives up and the second factor comes from the rate of flow of these particles. The number of par...,Theoretical,,Theoretical validation required
LE034,with momentum 𝑲𝟑= 𝑲𝟐+ 𝑲𝟏.,Literature,General,Phys-140A-lecture-14v3.pdf,"Page 3, Line 14",real materials because the atomic potential is not perfectly quadratic) We begin by considering the latter: Imagine a process where two phonons of momentum 𝑲𝟏 and 𝑲𝟐 collide and produce a third phonon...,Theoretical,,Theoretical validation required
LE035,𝑛𝑲𝟏→𝑛𝑲𝟏−1 = 𝑛𝑲𝟏′,Literature,General,Phys-140A-lecture-14v3.pdf,"Page 3, Line 17","with momentum 𝑲𝟑. Another way to say this is that two phonons annihilate and produce a new one with momentum 𝑲𝟑= 𝑲𝟐+ 𝑲𝟏. Following this process, the occupation numbers of these three modes is as follo...",Theoretical,,Theoretical validation required
LE036,𝑛𝑲𝟐→𝑛𝑲𝟐−1 = 𝑛𝑲𝟐′,Literature,General,Phys-140A-lecture-14v3.pdf,"Page 3, Line 18","with momentum 𝑲𝟑= 𝑲𝟐+ 𝑲𝟏. Following this process, the occupation numbers of these three modes is as follows: 𝑛𝑲𝟏→𝑛𝑲𝟏−1 = 𝑛𝑲𝟏′ 𝑛𝑲𝟐→𝑛𝑲𝟐−1 = 𝑛𝑲𝟐′ 𝑛𝑲𝟑→𝑛𝑲𝟑+ 1 = 𝑛𝑲𝟑′ Energy conservation requires that:",Theoretical,,Theoretical validation required
LE037,𝑛𝑲𝟑→𝑛𝑲𝟑+ 1 = 𝑛𝑲𝟑′,Literature,General,Phys-140A-lecture-14v3.pdf,"Page 3, Line 19","Following this process, the occupation numbers of these three modes is as follows: 𝑛𝑲𝟏→𝑛𝑲𝟏−1 = 𝑛𝑲𝟏′ 𝑛𝑲𝟐→𝑛𝑲𝟐−1 = 𝑛𝑲𝟐′ 𝑛𝑲𝟑→𝑛𝑲𝟑+ 1 = 𝑛𝑲𝟑′ Energy conservation requires that: 𝑛𝑲𝟏ℏ𝜔(𝑲𝟏) + 𝑛𝑲𝟐ℏ𝜔(𝑲𝟐) + 𝑛𝑲𝟑ℏ𝜔(...",Theoretical,,Theoretical validation required
LE038,𝑛𝑲𝟏ℏ𝜔(𝑲𝟏) + 𝑛𝑲𝟐ℏ𝜔(𝑲𝟐) + 𝑛𝑲𝟑ℏ𝜔(𝑲𝟑) = 𝑛𝑲𝟏′ℏ𝜔(𝑲𝟏) + 𝑛𝑲𝟐′ℏ𝜔(𝑲𝟐) + 𝑛𝑲𝟑′ℏ𝜔(𝑲𝟑),Literature,General,Phys-140A-lecture-14v3.pdf,"Page 3, Line 21",𝑛𝑲𝟏→𝑛𝑲𝟏−1 = 𝑛𝑲𝟏′ 𝑛𝑲𝟐→𝑛𝑲𝟐−1 = 𝑛𝑲𝟐′ 𝑛𝑲𝟑→𝑛𝑲𝟑+ 1 = 𝑛𝑲𝟑′ Energy conservation requires that: 𝑛𝑲𝟏ℏ𝜔(𝑲𝟏) + 𝑛𝑲𝟐ℏ𝜔(𝑲𝟐) + 𝑛𝑲𝟑ℏ𝜔(𝑲𝟑) = 𝑛𝑲𝟏′ℏ𝜔(𝑲𝟏) + 𝑛𝑲𝟐′ℏ𝜔(𝑲𝟐) + 𝑛𝑲𝟑′ℏ𝜔(𝑲𝟑) = 𝑛𝑲𝟏ℏ𝜔(𝑲𝟏) −ℏ𝜔(𝑲𝟏) + 𝑛𝑲𝟐ℏ𝜔(𝑲𝟐) −ℏ𝜔(𝑲𝟐) ...,Theoretical,,Theoretical validation required
LE039,0 = −ℏ𝜔(𝑲𝟏) −ℏ𝜔(𝑲𝟐) + ℏ𝜔(𝑲𝟑),Literature,General,Phys-140A-lecture-14v3.pdf,"Page 3, Line 23",𝑛𝑲𝟑→𝑛𝑲𝟑+ 1 = 𝑛𝑲𝟑′ Energy conservation requires that: 𝑛𝑲𝟏ℏ𝜔(𝑲𝟏) + 𝑛𝑲𝟐ℏ𝜔(𝑲𝟐) + 𝑛𝑲𝟑ℏ𝜔(𝑲𝟑) = 𝑛𝑲𝟏′ℏ𝜔(𝑲𝟏) + 𝑛𝑲𝟐′ℏ𝜔(𝑲𝟐) + 𝑛𝑲𝟑′ℏ𝜔(𝑲𝟑) = 𝑛𝑲𝟏ℏ𝜔(𝑲𝟏) −ℏ𝜔(𝑲𝟏) + 𝑛𝑲𝟐ℏ𝜔(𝑲𝟐) −ℏ𝜔(𝑲𝟐) + 𝑛𝑲𝟑ℏ𝜔(𝑲𝟑) + ℏ𝜔(𝑲𝟑) 0 = −ℏ𝜔(𝑲𝟏) −...,Theoretical,,Theoretical validation required
LE040,𝑲𝟏+ 𝑲𝟐= 𝑲𝟑+ 𝑮,Literature,General,Phys-140A-lecture-14v3.pdf,"Page 3, Line 25",𝑛𝑲𝟏ℏ𝜔(𝑲𝟏) + 𝑛𝑲𝟐ℏ𝜔(𝑲𝟐) + 𝑛𝑲𝟑ℏ𝜔(𝑲𝟑) = 𝑛𝑲𝟏′ℏ𝜔(𝑲𝟏) + 𝑛𝑲𝟐′ℏ𝜔(𝑲𝟐) + 𝑛𝑲𝟑′ℏ𝜔(𝑲𝟑) = 𝑛𝑲𝟏ℏ𝜔(𝑲𝟏) −ℏ𝜔(𝑲𝟏) + 𝑛𝑲𝟐ℏ𝜔(𝑲𝟐) −ℏ𝜔(𝑲𝟐) + 𝑛𝑲𝟑ℏ𝜔(𝑲𝟑) + ℏ𝜔(𝑲𝟑) 0 = −ℏ𝜔(𝑲𝟏) −ℏ𝜔(𝑲𝟐) + ℏ𝜔(𝑲𝟑) Momentum conservation requires that: ...,Theoretical,,Theoretical validation required
LE041,"Energy conservation:∑ℏ𝜔𝑝(𝑲)𝑛𝑲,𝑝,𝑖𝑛𝑖𝑡𝑖𝑎𝑙−∑ℏ𝜔𝑝𝑛𝑲,𝑝,𝑓𝑖𝑛𝑎𝑙= 0",Literature,General,Phys-140A-lecture-14v3.pdf,"Page 3, Line 29","𝑲𝟏+ 𝑲𝟐= 𝑲𝟑+ 𝑮 Where G is a reciprocal lattice vector. To make both of these expressions completely generic, we can write:  Energy conservation:∑ℏ𝜔𝑝(𝑲)𝑛𝑲,𝑝,𝑖𝑛𝑖𝑡𝑖𝑎𝑙−∑ℏ𝜔𝑝𝑛𝑲,𝑝,𝑓𝑖𝑛𝑎𝑙= 0 𝑝 𝑝",Theoretical,,Theoretical validation required
LE042,"Momentum conservation: ∑𝑲𝑛𝑲,𝑝,𝑖𝑛𝑖𝑡𝑖𝑎𝑙=",Literature,General,Phys-140A-lecture-14v3.pdf,"Page 3, Line 34","𝑝 𝑝  Momentum conservation: ∑𝑲𝑛𝑲,𝑝,𝑖𝑛𝑖𝑡𝑖𝑎𝑙= 𝑝 ∑𝑲𝑛𝑲,𝑝,𝑓𝑖𝑛𝑎𝑙+ 𝑮",Theoretical,,Theoretical validation required
LE043,"needed to make the equality above hold, the scattering is called an Umklapp process.  If G=0, it is called",Literature,General,Phys-140A-lecture-14v3.pdf,"Page 4, Line 4","The factor of G is needed because phonon momentum is only defined modulo a reciprocal lattice vector, so if the sum of two phonon momenta is located outside the first Brillouin zone, it is mapped onto...",Theoretical,,Theoretical validation required
LE044,𝑲𝑡𝑜𝑡= ∑,Literature,Thermo,Phys-140A-lecture-14v3.pdf,"Page 4, Line 15","𝜋 𝑎 To show that only umklapp processes contribute to thermal resistivity, we consider the sum over all phonon scattering processes 𝑲𝑡𝑜𝑡= ∑ ∑ 𝑲𝑛𝑠(𝑲)",Theoretical,,Theoretical validation required
LE045,"If only normal scattering processes are included 𝑲𝑡𝑜𝑡= 0 because for every K, there is a –K in the first",Literature,General,Phys-140A-lecture-14v3.pdf,"Page 4, Line 25",The outer sum sums over all phonon branches (e.g. all acoustic and optical dispersions) and the inner sum counts all momenta in the first Brillouin zone. The terms being added together include the mom...,Theoretical,,Theoretical validation required
LE046,Brillouin zone and 𝑛𝑝(𝑲) = 𝑛𝑠(−𝑲) =,Literature,Math,Phys-140A-lecture-14v3.pdf,"Page 4, Line 26",sum counts all momenta in the first Brillouin zone. The terms being added together include the momentum (vector) of each phonon mode being considered (K) multiplied by how many of them there are (𝑛𝑝(𝑲...,Theoretical,,Theoretical validation required
LE047,"𝑲𝑡𝑜𝑡= 𝑲𝒊𝒏𝒊𝒕𝒊𝒂𝒍−𝑲𝒇𝒊𝒏𝒂𝒍= ∑𝑲𝑛𝑲,𝑝,𝑖𝑛𝑖𝑡𝑖𝑎𝑙−(",Literature,Thermo,Phys-140A-lecture-14v3.pdf,"Page 4, Line 33","In the context of thermal conductivity, what this means is that if you heat up one side of a rod, you will change the occupation numbers of phonon modes, but if these phonons can only scatter via norm...",Theoretical,,Theoretical validation required
LE048,"𝑮= 𝜈1𝒃𝟏+ 𝜈2𝒃𝟐+ 𝜈3𝒃𝟑 is any reciprocal lattice vector, so when we have many terms contributing to",Literature,General,Phys-140A-lecture-14v3.pdf,"Page 4, Line 38","𝑝 ∑𝑲𝑛𝑲,𝑝,𝑓𝑖𝑛𝑎𝑙+ 𝑮 𝑝 ) 𝑮= 𝜈1𝒃𝟏+ 𝜈2𝒃𝟐+ 𝜈3𝒃𝟑 is any reciprocal lattice vector, so when we have many terms contributing to G, we accommodate this by making the integers 𝜈1, 𝜈2, 𝜈3 as large as needed",Theoretical,,Theoretical validation required
LE049,𝑲𝒕𝒐𝒕= 𝑮.,Literature,General,Phys-140A-lecture-14v3.pdf,"Page 5, Line 2","When we consider Umklapp processes, we do not have the same cancellation as we did without and 𝑲𝒕𝒐𝒕= 𝑮. Even if we fold this back into the first Brillouin zone, we are still left with a non-zero net m...",Theoretical,,Theoretical validation required
LE050,"3 𝐶𝑣ℓ= 〈𝑣2〉𝜏, C is independent of temperature in this high temperature regime, but",Literature,Thermo,Phys-140A-lecture-14v3.pdf,"Page 5, Line 15","ℏ𝜔𝑝(𝑲) (from taylor expanding exponent to first order) Using 𝐾= 1 3 𝐶𝑣ℓ= 〈𝑣2〉𝜏, C is independent of temperature in this high temperature regime, but 𝜏 is not. The collision frequency (",Theoretical,,Theoretical validation required
LE051,allowed in the debye model.  This frequency also defines a momentum 𝑘𝐷= 𝜔𝐷/𝑣 and a,Literature,General,Phys-140A-lecture-14v3.pdf,"Page 7, Line 19","make a physically motivated approximation, and the Debye model is such an approximation which works well for predicting behavior of real materials. The Debye model only considers acoustic phonons and ...",Theoretical,,Theoretical validation required
LE052,Debye temperature 𝜃= ℏ𝜔𝐷/𝑘𝐵.  The Debye temperature is physically significant because it,Literature,Thermo,Phys-140A-lecture-14v3.pdf,"Page 7, Line 20",which works well for predicting behavior of real materials. The Debye model only considers acoustic phonons and approximates all acoustic branches as having the same group velocity v. There is also a ...,Theoretical,,Theoretical validation required
LE053,High T: 𝐶𝑉≈3𝑁𝑘𝐵 (This is also consistent with experiments and with a classical gas),Literature,General,Phys-140A-lecture-14v3.pdf,"Page 7, Line 31","𝑇 𝜃) 3 (This is consistent with experiments) High T: 𝐶𝑉≈3𝑁𝑘𝐵 (This is also consistent with experiments and with a classical gas) In almost every concept we have discussed in this chapter, a particle ‘...",Theoretical,,Theoretical validation required
LE054,"given by 𝜕𝜔/𝜕𝑘 near k=0, is a crucial parameter determining how non-electromagnetic (e.g.",Literature,EM,Phys-140A-lecture-14v3.pdf,"Page 7, Line 34","(This is consistent with experiments) High T: 𝐶𝑉≈3𝑁𝑘𝐵 (This is also consistent with experiments and with a classical gas) In almost every concept we have discussed in this chapter, a particle ‘velocit...",Theoretical,,Theoretical validation required
PE008,"Consider the relation (FSN /FEM = 1/α), where FSN is the strong nuclear force, FEM is the electromagnetic force and",Pais,EM,SUPERFORCE ---S.C.Pais---2023.pdf,"Page 2, Line 5","2 III. Force of Unification Consider the relation (FSN /FEM = 1/α), where FSN is the strong nuclear force, FEM is the electromagnetic force and α is the fine structure constant, approximately equal to...",Theoretical,,Theoretical validation required
PE009,"We can write FSN = (1/ α) FEM and by recalling  that α = q2 / (k h*c), where q is the electric charge, h* is h-bar,",Pais,EM,SUPERFORCE ---S.C.Pais---2023.pdf,"Page 2, Line 8","Consider the relation (FSN /FEM = 1/α), where FSN is the strong nuclear force, FEM is the electromagnetic force and α is the fine structure constant, approximately equal to 1/137. We can write FSN = (...",Theoretical,,Theoretical validation required
PE010,"namely the modified (reduced ) Planck constant, and k is the constant (4π ε0), and also that FEM = (1/k) q2 / L2, then",Pais,EM,SUPERFORCE ---S.C.Pais---2023.pdf,"Page 2, Line 9","Consider the relation (FSN /FEM = 1/α), where FSN is the strong nuclear force, FEM is the electromagnetic force and α is the fine structure constant, approximately equal to 1/137. We can write FSN = (...",Theoretical,,Theoretical validation required
PE011,"at the Planck scale (namely L2 = LP2 =Gh*/c3) we obtain FSN = c4 / G, namely the formula for the Superforce (LP",Pais,EM,SUPERFORCE ---S.C.Pais---2023.pdf,"Page 2, Line 10","α is the fine structure constant, approximately equal to 1/137. We can write FSN = (1/ α) FEM and by recalling that α = q2 / (k h*c), where q is the electric charge, h* is h-bar, namely the modified (...",Theoretical,,Theoretical validation required
PE012,"Furthermore, considering FG = (GmP2 / LP2) , where FG is the gravitational force at the Planck scale, namely (m2",Pais,General,SUPERFORCE ---S.C.Pais---2023.pdf,"Page 2, Line 13","namely the modified (reduced ) Planck constant, and k is the constant (4π ε0), and also that FEM = (1/k) q2 / L2, then at the Planck scale (namely L2 = LP2 =Gh*/c3) we obtain FSN = c4 / G, namely the ...",Theoretical,,Theoretical validation required
PE013,"= mP2 = h*c / G) we obtain FG = c4 / G, once again the formula for the Superforce (mP is the Planck mass).",Pais,EM,SUPERFORCE ---S.C.Pais---2023.pdf,"Page 2, Line 14","at the Planck scale (namely L2 = LP2 =Gh*/c3) we obtain FSN = c4 / G, namely the formula for the Superforce (LP being the Planck Length; ε0 is the electrical permitivity of free space). Furthermore, c...",Theoretical,,Theoretical validation required
PE014,ih*dψ/dt = -(h*2/2m) d2(ψ)/dx2 +  Vψ,Pais,General,SUPERFORCE ---S.C.Pais---2023.pdf,"Page 2, Line 34",ih*dψ/dt = -(h*2/2m) d2(ψ)/dx2 + Vψ,Theoretical,,Theoretical validation required
PE015,Equation 2 with the total energy relation (ET2 = m02c4 + p2c2) yields the Dirac equation (where p is the momentum of,Pais,QM,SUPERFORCE ---S.C.Pais---2023.pdf,"Page 2, Line 47","where ψ is the wave function of a particle of mass m travelling through a field of (potential) energy V. This mathematical formalism does not take into account special relativity, which when considere...",Theoretical,,Theoretical validation required
